id,Page,Content
2807,5,"Pernyataan Tanggung Jawab 
jawab  dari  Pengguna  Anggaran  terhadap 
Merupakan  pernyataan  tanggung 
penggunaan  anggaran  pada 
lingkup  Kementerian  Negara/Lembaga  yang 
dipimpinnya. Pernyataan Tanggung Jawab ditandatangani oleh Menteri/Pimpinan 
Lembaga  setiap  periode  penyampaian  laporan  keuangan.  Pernyataan  tanggung 
jawab paling tidak memuat pernyataan sebagai berikut "
2978,6,"Laporan Realisasi Anggaran Kementerian Negara/Lembaga 
Laporan  Realisasi  Anggaran  menyajikan 
informasi  realisasi  pendapatan  dan 
belanja,  yang  masing-masing  dibandingkan  dengan  anggarannya  dalam  satu 
periode. 
Laporan  Realisasi  Anggaran  berdasarkan  cetakan  dari  aplikasi  SAI,  untuk  laporan 
keuangan periode semesteran, laporan yang disampaikan adalah laporan Semester 
I.  Untuk  periode  tahunan  laporan  yang  disampaikan  adalah  laporan  komparatif 
dengan membandingkan anggaran dan realisasi Tahun Anggaran Yang Lalu (TAYL) 
dengan tahun anggaran berjalan"
8374,6,"13.  Neraca 

Neraca  menggambarkan  posisi  keuangan  suatu  entitas  akuntansi  dan  entitas 
pelaporan mengenai aset, kewajiban, ekuitas dana per tanggal tertentu. 
Laporan  neraca  berdasarkan  cetakan  dari  aplikasi  SAI,  untuk  laporan  keuangan 
periode semesteran, laporan yang disampaikan adalah laporan Semester I. Untuk 
periode  tahunan  laporan  yang  disampaikan  adalah  laporan  komparatif  dengan 
membandingkan anggaran dan realisasi TAYL dengan tahun anggaran berjalan"
3222,9,"i)  Pusat Investasi Pemerintah (PIP) 
ii)  Sekolah Tinggi Akuntansi Negara (STAN) 

2.  Laporan Keuangan Lembaga Non Struktural :  
Komite Standar Akuntansi Pemerintah (KSAP) 

3.  Laporan Rekening Pemerintah 
4.  Tindak Lanjut Atas Temuan BPK 
5.  Berita Acara Rekonsiliasi LRA 
6.  Berita Acara Rekonsiliasi Aset Tetap 
7.  Laporan Barang Pengguna  Barang Persediaan 
8.  Laporan Barang Tegahan Direktorat Jenderal Bea dan Cukai"
889,10,"Tabel 4 
Tabel 5 
Tabel 6 
Tabel 7 

Tabel 8 
Tabel 9 

Tabel 10 

Tabel 11 

Tabel 12 

Tabel 13 
Tabel 14 

Tabel 15 
Tabel 16 

Tabel 17 

Tabel 18 

Tabel 19 
Tabel 20 
Tabel 21 

Tabel 22 
Tabel 23 

Tabel 24 

Tabel 25 

Tabel 26 
Tabel 27 

Tabel 28 
Tabel 29 
Tabel 30 
Tabel 31 
Tabel 32 
Tabel 33 
Tabel 34 
Tabel 35 
Tabel 36 
Tabel 37 
Tabel 38 
Tabel 39"
6191,10,"Rekapitulasi Jumlah Satker menurut Eselon I  
Rekapitulasi Jumlah Satker menurut Eselon I  
Perbandingan Estimasi Pendapatan dengan Realisasi Pendapatan  
Tahun Anggaran 2008 
Perbandingan Realisasi Pendapatan Tahun Anggaran 2008 dan 2007 
Realisasi Pendapatan Per Unit Eselon I Tahun Anggaran 2008 
Realisasi Pendapatan Tahun Anggaran 2008 
Perbandingan Realisasi Pendapatan Perpajakan Per Jenis Penerimaan  
Tahun Anggaran 2008 dan 2007 
Realisasi Pendapatan Pajak Dalam Negeri Tahun Anggaran 2008  
Perbandingan Realisasi Penerimaan Pajak Dalam Negeri  Tahun Anggaran 
2008 dan 2007 
Realisasi Pendapatan Pajak Perdagangan Internasional"
5491,10,"Tahun Anggaran 2008 
Perbandingan Realisasi Pendapatan Pajak Perdagangan Internasional  
Tahun Anggaran 2008 dan 2007 
Daftar Pengembalian Pendapatan Bea Keluar Melalui Kompensasi Tahun 
Anggaran 20008 
Realisasi  Penerimaan Negara Bukan Pajak Tahun Anggaran 2008  
Perbandingan Realisasi Penerimaan Negara Bukan Pajak Tahun Anggaran 
2008 dan 2007 
Realisasi Penerimaan Sumber Daya Alam  Tahun Anggaran 2008  
Perbandingan Realisasi Penerimaan Sumber Daya Alam  Tahun Anggaran 
2008 dan 2007 
Realisasi Pendapatan Bagian Pemerintah atas Laba BUMN  Tahun 
Anggaran 2008  
Perbandingan Realisasi Pendapatan Bagian Pemerintah atas Laba BUMN  
Tahun Anggaran 2008 dan 2007 
Daftar 10 BUMN Penghasil Deviden Terbesar Tahun Anggaran 2008 
Realisasi Penerimaan Negara Bukan Pajak Lainnya  Tahun Anggaran 2008  
Perbandingan Realisasi Penerimaan Negara Bukan Pajak Lainnya Tahun 
Anggaran 2008 dan 2007 
Realisasi Pendapatan BLU Tahun  Anggaran 2008  
Perbandingan Realisasi Belanja dengan Pagu DIPA menurut  Sumber Dana 
Tahun  Anggaran 2008"
8655,11,"Tabel 40 
Tabel 41 
Tabel 42 
Tabel 43 
Tabel 44 
Tabel 45 
Tabel 46  
Tabel 47  
Tabel 48 

Tabel 49 
Tabel 50  
Tabel 51 
Tabel 52 
Tabel 53 
Tabel 54  
Tabel 55 
Tabel 56 
Tabel 57 
Tabel 58 
Tabel 59 
Tabel 60 
Tabel 61 
Tabel 62 

Tabel 63 
Tabel 64 

Tabel 65 
Tabel 66 

Tabel 67 
Tabel 68 
Tabel 69 
Tabel 70 

Tabel 71 
Tabel 72 
Tabel 73 
Tabel 74 
Tabel 75 
Tabel 76 

Tabel 77 
Tabel 78 
Tabel 79 
Tabel 80 
Tabel 81 
Tabel 82 
Tabel 83"
4151,11,"Kas di Bendahara Pengeluaran Per Unit Eselon I  
Saldo Rekening Yang Bukan Berasal dari Uang Persediaan 
Kas di Bendahara Penerimaan Per Eselon I 
Saldo Rekening yang bukan Kas di Bendahara Penerimaan 
Kas pada Badan Layanan Umum Per Eselon I 
Piutang Pajak Per Unit Eselon I 
Rincian Piutang Pajak Per Jenis Pajak Per 31 Desember 2008 
Rincian Piutang Pajak Berdasarkan Umur Piutang Per 31 Desember 2008 
Rincian Piutang Pajak Direktorat Jenderal Bea dan Cukai Per 31 Desember 
2008 
Rincian Piutang PNBP Per Unit Eselon I 
Rincian Piutang PNBP Pertambangan Panas Bumi 
Rincian Piutang PNBP di DJP Per 31 Desember 2008 
Rincian Piutang PNBP di DJPB Per 31 Desember 2008 
Rincian Piutang PNBP di BPPK Per 31 Desember 2008 
Bagian Lancar Tagihan Tuntutan Ganti Rugi Per Eselon I 
Piutang dari Kegiatan Operasional BLU Per Eselon I 
Persediaan Per Eselon I 
Persediaan Per Jenis 
Daftar Saham BUMN 
Komposisi Aset Tetap Per Jenis Aset per 31 Desember 2008 dan 2007 
Aset Tetap Tanah Per Unit Eselon I per 31 Desember 2008 dan 2007 
Mutasi/Perubahan Tanah 
Aset Tetap Peralatan dan Mesin Per Unit Eselon I per 31 Desember 2008 
dan 2007 
Mutasi/Perubahan Peralatan dan Mesin 
Aset Tetap Gedung dan Bangunan Per Unit Eselon I per 31 Desember 
2008 dan 2007 
Mutasi/Perubahan Gedung dan Bangunan 
Aset Tetap Jalan, Irigasi dan Jaringan Per Unit Eselon I per 31 Desember 
2008 dan 2007 
Mutasi/Perubahan  Jalan, Irigasi dan Jaringan 
Aset Tetap Lainnya Per Unit Eselon I per 31 Desember 2008 dan 2007 
Mutasi/Perubahan Aset Tetap Lainnya 
Rincian Aset Tetap – Konstruksi Dalam Pengerjaan Per Unit Eselon I per 
31 Desember 2008 dan 2007 
Mutasi/Perubahan Konstruksi Dalam Pengerjaan 
Aset Tetap Peralatan dan Mesin BLU 
Aset Tetap Jalan, Irigasi dan Jaringan BLU 
Aset Tetap Lainnya BLU 
Rincian Aset Lainnya per 31 Desember 2008 dan 2007 
Tuntutan Perbendaharaan/Tuntutan Ganti Rugi Per Unit Eselon I per 31 
Desember 2008 dan 2007 
Aset Tak Berwujud Per Unit Eselon I per 31 Desember 2008 dan 2007 
Aset Tak Berwujud BLU 
Aset Lain-lain Per Unit Eselon I per 31 Desember 2008 dan 2007 
Dana Kelolaan BLU 
Posisi Kewajiban Jangka Pendek per 31 Desember 2008 dan 2007 
Utang Kepada Pihak Ketiga per 31 Desember 2008 dan 2007 
Utang Kelebihan Pembayaran Pendapatan Per 31 Desember 2008 

57 
58 
58 
58 
59 
60 
61 
61 
63 

64 
65 
66 
66 
68 
68 
69 
70 
70 
72 
73 
75 
76 
77 

78 
79 

80 
81 

82 
83 
84 
86 

86 
87 
87 
87 
89 
89 

90 
90 
91 
92 
92 
93 
93 

Daftar Tabel"
5245,12,"Perbandingan Estimasi Pendapatan dengan Realisasi Pendapatan TA 
2008 
Komposisi Realisasi Pendapatan TA 2008 
Komposisi Realisasi Pendapatan Perpajakan Per Jenis Penerimaan TA 
2008 
Realisasi Pendapatan Pajak Dalam Negeri TA 2008 
Perbandingan Realisasi Penerimaan Pajak Dalam Negeri TA 2008 dan 
2007 
Komposisi Realisasi Penerimaan Pajak Dalam Negeri TA 2008 
Perbandingan Realisasi Penerimaan Negara Bukan Pajak TA 2008 dan 
2007 
Komposisi Realisasi Penerimaan Negara Bukan Pajak TA 2008 
Perbandingan Realisasi Penerimaan Sumber Daya Alam TA 2008 dan 
2007 
Komposisi Realisasi Penerimaan SDA TA 2008 
Perbandingan Realisasi Pendapatan Bagian Pemerintah atas Laba 
BUMN TA 2008 dan 2007 
Perbandingan Realisasi Belanja Kementerian Keuangan TA 2008 dan 
2007 
Realisasi Belanja Menurut Fungsi TA 2008 
Realisasi Belanja Menurut  Jenis Belanja TA 2008 
Komposisi Realisasi Belanja Menurut Jenis Belanja TA 2008 
Komposisi Realisasi Belanja Pegawai TA 2008 
Komposisi Realisasi Belanja Barang TA 2008 
Komposisi Realisasi Belanja Modal TA 2008 
Komposisi Neraca  
Piutang Pajak DJP Per 31 Desember 2008 
Komposisi Aset Tetap Per Jenis Aset 
Perkembangan Aset Tetap Per Jenis Aset Tetap"
